2025-08-15 09:49:07,508 | INFO | __main__:__init__:85 | AIBot initialized with models: IV Predictor, Price Predictor, Anomaly Detector
2025-08-15 09:49:07,508 | INFO | __main__:start:105 | Starting AIBot...
2025-08-15 09:49:07,508 | INFO | __main__:analyze_market:140 | Analyzing market conditions...
2025-08-15 09:49:12,947 | WARNING | __main__:analyze_market:158 | Price prediction failed: 'LivePricePredictor' object has no attribute 'predict_next_movement'
2025-08-15 09:49:12,947 | WARNING | __main__:analyze_market:167 | Anomaly detection failed: 'LiveAnomalyDetector' object has no attribute 'find_mispriced_options'
2025-08-15 09:49:12,948 | INFO | __main__:analyze_market:191 | Market analysis complete: IV=0.20%, Price Direction=HOLD, Anomalies Found=0
2025-08-15 09:49:55,115 | INFO | __main__:start:132 | Received stop signal
2025-08-15 09:49:55,115 | INFO | __main__:stop:272 | Stopping AIBot...
2025-08-15 09:49:55,115 | ERROR | __main__:save_session_data:297 | Error saving session data: 'NoneType' object has no attribute 'get_current_metrics'
2025-08-15 09:49:55,115 | INFO | __main__:stop:278 | AIBot stopped successfully
2025-08-15 09:53:18,137 | INFO | __main__:__init__:88 | AIBot initialized with models: IV Predictor, Price Predictor, Anomaly Detector
2025-08-15 09:53:18,139 | INFO | __main__:start:108 | Starting AIBot...
2025-08-15 09:53:18,139 | INFO | werkzeug:_log:97 | 127.0.0.1 - - [15/Aug/2025 09:53:18] "POST /api/start HTTP/1.1" 200 -
2025-08-15 09:53:18,140 | INFO | __main__:analyze_market:143 | Analyzing market conditions...
2025-08-15 09:53:18,550 | INFO | __main__:analyze_market:143 | Analyzing market conditions...
2025-08-15 09:53:20,029 | WARNING | __main__:analyze_market:161 | Price prediction failed: 'LivePricePredictor' object has no attribute 'predict_next_movement'
2025-08-15 09:53:20,029 | WARNING | __main__:analyze_market:170 | Anomaly detection failed: 'LiveAnomalyDetector' object has no attribute 'find_mispriced_options'
2025-08-15 09:53:20,029 | INFO | __main__:analyze_market:194 | Market analysis complete: IV=0.20%, Price Direction=HOLD, Anomalies Found=0
2025-08-15 09:53:20,029 | WARNING | __main__:analyze_market:161 | Price prediction failed: 'LivePricePredictor' object has no attribute 'predict_next_movement'
2025-08-15 09:53:20,029 | WARNING | __main__:analyze_market:170 | Anomaly detection failed: 'LiveAnomalyDetector' object has no attribute 'find_mispriced_options'
2025-08-15 09:53:20,029 | INFO | __main__:analyze_market:194 | Market analysis complete: IV=0.20%, Price Direction=HOLD, Anomalies Found=0
2025-08-15 09:53:20,029 | INFO | werkzeug:_log:97 | 127.0.0.1 - - [15/Aug/2025 09:53:20] "GET /api/status HTTP/1.1" 200 -
2025-08-15 09:53:28,555 | INFO | __main__:analyze_market:143 | Analyzing market conditions...
2025-08-15 09:53:29,698 | WARNING | __main__:analyze_market:161 | Price prediction failed: 'LivePricePredictor' object has no attribute 'predict_next_movement'
2025-08-15 09:53:29,698 | WARNING | __main__:analyze_market:170 | Anomaly detection failed: 'LiveAnomalyDetector' object has no attribute 'find_mispriced_options'
2025-08-15 09:53:29,698 | INFO | __main__:analyze_market:194 | Market analysis complete: IV=0.20%, Price Direction=HOLD, Anomalies Found=0
2025-08-15 09:53:29,699 | INFO | werkzeug:_log:97 | 127.0.0.1 - - [15/Aug/2025 09:53:29] "GET /api/status HTTP/1.1" 200 -
2025-08-15 09:53:38,550 | INFO | __main__:analyze_market:143 | Analyzing market conditions...
2025-08-15 09:53:39,716 | WARNING | __main__:analyze_market:161 | Price prediction failed: 'LivePricePredictor' object has no attribute 'predict_next_movement'
2025-08-15 09:53:39,716 | WARNING | __main__:analyze_market:170 | Anomaly detection failed: 'LiveAnomalyDetector' object has no attribute 'find_mispriced_options'
2025-08-15 09:53:39,716 | INFO | __main__:analyze_market:194 | Market analysis complete: IV=0.20%, Price Direction=HOLD, Anomalies Found=0
2025-08-15 09:53:39,716 | INFO | werkzeug:_log:97 | 127.0.0.1 - - [15/Aug/2025 09:53:39] "GET /api/status HTTP/1.1" 200 -
2025-08-15 09:53:40,166 | INFO | __main__:analyze_market:143 | Analyzing market conditions...
2025-08-15 09:53:41,293 | WARNING | __main__:analyze_market:161 | Price prediction failed: 'LivePricePredictor' object has no attribute 'predict_next_movement'
2025-08-15 09:53:41,293 | WARNING | __main__:analyze_market:170 | Anomaly detection failed: 'LiveAnomalyDetector' object has no attribute 'find_mispriced_options'
2025-08-15 09:53:41,295 | INFO | __main__:analyze_market:194 | Market analysis complete: IV=0.20%, Price Direction=HOLD, Anomalies Found=0
2025-08-15 09:53:41,295 | INFO | werkzeug:_log:97 | 127.0.0.1 - - [15/Aug/2025 09:53:41] "GET /api/status HTTP/1.1" 200 -
2025-08-15 09:53:49,362 | INFO | __main__:analyze_market:143 | Analyzing market conditions...
2025-08-15 09:53:50,466 | WARNING | __main__:analyze_market:161 | Price prediction failed: 'LivePricePredictor' object has no attribute 'predict_next_movement'
2025-08-15 09:53:50,467 | WARNING | __main__:analyze_market:170 | Anomaly detection failed: 'LiveAnomalyDetector' object has no attribute 'find_mispriced_options'
2025-08-15 09:53:50,467 | INFO | __main__:analyze_market:194 | Market analysis complete: IV=0.20%, Price Direction=HOLD, Anomalies Found=0
2025-08-15 09:53:50,467 | INFO | werkzeug:_log:97 | 127.0.0.1 - - [15/Aug/2025 09:53:50] "GET /api/status HTTP/1.1" 200 -
2025-08-15 09:53:58,903 | INFO | __main__:analyze_market:143 | Analyzing market conditions...
2025-08-15 09:54:00,038 | WARNING | __main__:analyze_market:161 | Price prediction failed: 'LivePricePredictor' object has no attribute 'predict_next_movement'
2025-08-15 09:54:00,038 | WARNING | __main__:analyze_market:170 | Anomaly detection failed: 'LiveAnomalyDetector' object has no attribute 'find_mispriced_options'
2025-08-15 09:54:00,038 | INFO | __main__:analyze_market:194 | Market analysis complete: IV=0.20%, Price Direction=HOLD, Anomalies Found=0
2025-08-15 09:54:00,038 | INFO | werkzeug:_log:97 | 127.0.0.1 - - [15/Aug/2025 09:54:00] "GET /api/status HTTP/1.1" 200 -
2025-08-15 09:54:09,363 | INFO | __main__:analyze_market:143 | Analyzing market conditions...
2025-08-15 09:54:10,489 | WARNING | __main__:analyze_market:161 | Price prediction failed: 'LivePricePredictor' object has no attribute 'predict_next_movement'
2025-08-15 09:54:10,489 | WARNING | __main__:analyze_market:170 | Anomaly detection failed: 'LiveAnomalyDetector' object has no attribute 'find_mispriced_options'
2025-08-15 09:54:10,489 | INFO | __main__:analyze_market:194 | Market analysis complete: IV=0.20%, Price Direction=HOLD, Anomalies Found=0
2025-08-15 09:54:10,489 | INFO | werkzeug:_log:97 | 127.0.0.1 - - [15/Aug/2025 09:54:10] "GET /api/status HTTP/1.1" 200 -
2025-08-15 09:54:19,362 | INFO | __main__:analyze_market:143 | Analyzing market conditions...
2025-08-15 09:54:20,507 | WARNING | __main__:analyze_market:161 | Price prediction failed: 'LivePricePredictor' object has no attribute 'predict_next_movement'
2025-08-15 09:54:20,507 | WARNING | __main__:analyze_market:170 | Anomaly detection failed: 'LiveAnomalyDetector' object has no attribute 'find_mispriced_options'
2025-08-15 09:54:20,508 | INFO | __main__:analyze_market:194 | Market analysis complete: IV=0.20%, Price Direction=HOLD, Anomalies Found=0
2025-08-15 09:54:20,508 | INFO | werkzeug:_log:97 | 127.0.0.1 - - [15/Aug/2025 09:54:20] "GET /api/status HTTP/1.1" 200 -
2025-08-15 09:54:29,354 | INFO | __main__:analyze_market:143 | Analyzing market conditions...
2025-08-15 09:54:30,544 | WARNING | __main__:analyze_market:161 | Price prediction failed: 'LivePricePredictor' object has no attribute 'predict_next_movement'
2025-08-15 09:54:30,544 | WARNING | __main__:analyze_market:170 | Anomaly detection failed: 'LiveAnomalyDetector' object has no attribute 'find_mispriced_options'
2025-08-15 09:54:30,544 | INFO | __main__:analyze_market:194 | Market analysis complete: IV=0.20%, Price Direction=HOLD, Anomalies Found=0
2025-08-15 09:54:30,545 | INFO | werkzeug:_log:97 | 127.0.0.1 - - [15/Aug/2025 09:54:30] "GET /api/status HTTP/1.1" 200 -
2025-08-15 09:54:39,359 | INFO | __main__:analyze_market:143 | Analyzing market conditions...
2025-08-15 09:54:40,538 | WARNING | __main__:analyze_market:161 | Price prediction failed: 'LivePricePredictor' object has no attribute 'predict_next_movement'
2025-08-15 09:54:40,538 | WARNING | __main__:analyze_market:170 | Anomaly detection failed: 'LiveAnomalyDetector' object has no attribute 'find_mispriced_options'
2025-08-15 09:54:40,538 | INFO | __main__:analyze_market:194 | Market analysis complete: IV=0.20%, Price Direction=HOLD, Anomalies Found=0
2025-08-15 09:54:40,538 | INFO | werkzeug:_log:97 | 127.0.0.1 - - [15/Aug/2025 09:54:40] "GET /api/status HTTP/1.1" 200 -
2025-08-15 09:54:49,363 | INFO | __main__:analyze_market:143 | Analyzing market conditions...
2025-08-15 09:54:50,493 | WARNING | __main__:analyze_market:161 | Price prediction failed: 'LivePricePredictor' object has no attribute 'predict_next_movement'
2025-08-15 09:54:50,493 | WARNING | __main__:analyze_market:170 | Anomaly detection failed: 'LiveAnomalyDetector' object has no attribute 'find_mispriced_options'
2025-08-15 09:54:50,493 | INFO | __main__:analyze_market:194 | Market analysis complete: IV=0.20%, Price Direction=HOLD, Anomalies Found=0
2025-08-15 09:54:50,494 | INFO | werkzeug:_log:97 | 127.0.0.1 - - [15/Aug/2025 09:54:50] "GET /api/status HTTP/1.1" 200 -
